frame.time_epoch,ip.src,ip.dst,ip.proto,frame.len
"1769875481.085516000","192.168.76.1","192.168.76.255","17","86"
"1769875511.087933000","192.168.76.1","192.168.76.255","17","86"
"1769875536.158064000","192.168.76.1","239.255.255.250","17","167"
"1769875536.204173000","192.168.76.1","224.0.0.251","17","87"
"1769875536.205846000",,,,"107"
"1769875541.087492000","192.168.76.1","192.168.76.255","17","86"
"1769875554.108356000",,,,"60"
"1769875554.109717000",,,,"42"
"1769875554.110739000","192.168.76.133","192.168.76.130","1","98"
"1769875554.111375000","192.168.76.130","192.168.76.133","1","98"
"1769875555.109106000","192.168.76.133","192.168.76.130","1","98"
"1769875555.109249000","192.168.76.130","192.168.76.133","1","98"
"1769875555.152047000","192.168.76.1","239.255.255.250","17","213"
"1769875556.110736000","192.168.76.133","192.168.76.130","1","98"
"1769875556.110824000","192.168.76.130","192.168.76.133","1","98"
"1769875556.152608000","192.168.76.1","239.255.255.250","17","213"
"1769875557.115816000","192.168.76.133","192.168.76.130","1","98"
"1769875557.115957000","192.168.76.130","192.168.76.133","1","98"
"1769875557.154330000","192.168.76.1","239.255.255.250","17","213"
"1769875558.139323000","192.168.76.133","192.168.76.130","1","98"
"1769875558.139430000","192.168.76.130","192.168.76.133","1","98"
"1769875558.154998000","192.168.76.1","239.255.255.250","17","213"
"1769875559.163769000","192.168.76.133","192.168.76.130","1","98"
"1769875559.163857000","192.168.76.130","192.168.76.133","1","98"
"1769875559.355839000",,,,"42"
"1769875559.356479000",,,,"60"
"1769875560.165232000","192.168.76.133","192.168.76.130","1","98"
"1769875560.165268000","192.168.76.130","192.168.76.133","1","98"
"1769875561.212311000","192.168.76.133","192.168.76.130","1","98"
"1769875561.212382000","192.168.76.130","192.168.76.133","1","98"
"1769875562.214252000","192.168.76.133","192.168.76.130","1","98"
"1769875562.214463000","192.168.76.130","192.168.76.133","1","98"
"1769875563.215514000","192.168.76.133","192.168.76.130","1","98"
"1769875563.215606000","192.168.76.130","192.168.76.133","1","98"
"1769875564.216976000","192.168.76.133","192.168.76.130","1","98"
"1769875564.217137000","192.168.76.130","192.168.76.133","1","98"
"1769875565.219688000","192.168.76.133","192.168.76.130","1","98"
"1769875565.219879000","192.168.76.130","192.168.76.133","1","98"
"1769875566.222277000","192.168.76.133","192.168.76.130","1","98"
"1769875566.222363000","192.168.76.130","192.168.76.133","1","98"
"1769875567.224549000","192.168.76.133","192.168.76.130","1","98"
"1769875567.224640000","192.168.76.130","192.168.76.133","1","98"
